Name,Wiki Summary
Statement Iranian Government,"The Interim Government of Iran (Persian: دولت موقت ايران, romanized: Dowlat-e Movaqat-e Irân) was the first government established in Iran after the Iranian Revolution. The regime was headed by Mehdi Bazargan, one of the members of the Freedom Movement of Iran, and formed on the order of Ruhollah Khomeini (known as the Ayatollah Khomeini) on 4 February 1979."
Vladimir Dvorkin,"Dworkin or Dvorkin (Russian: Дворкин) is a Jewish (Eastern Ashkenasic) surname originating from the Hebrew given name Deborah. In Slavic countries it is strictly masculine, with the feminine counterpart being Dworkina or Dvorkina."
Pavel Zolotaryov,"Kets (Russian: Кеты; Ket: Ostygan) are a tribe of Yeniseian people in Siberia. During the Russian Empire, they were known as Ostyaks, without differentiating them from several other Siberian people."
Alexander Konovalov,"Aleksandr Vladimirovich Konovalov (in Russian: Алекса́ндр Влади́мирович Конова́лов, born 9 June 1968) is a Russian lawyer and politician. From May 2008 to January 2020, he served as the Minister of Justice."
Rob Manning,"Peyton Williams Manning (born March 24, 1976) is an American former football quarterback who played in the National Football League (NFL) for 18 seasons. Considered to be one of the greatest quarterbacks of all time, he spent 14 seasons with the Indianapolis Colts and four with the Denver Broncos."
Anthony Cordesman,"Anthony H. Cordesman (born August 1, 1939) holds the Arleigh A. Burke Chair in Strategy at the Center for Strategic and International Studies (CSIS) and is a national security analyst on a number of global conflicts.


== Career ==
At CSIS, he has been the director of the Gulf Net Assessment Project and the Gulf in Transition study, and Principal Investigator of the CSIS Homeland Defense Project."
Statement MDA,"Maxar Technologies is a space technology company headquartered in Westminster, Colorado, United States, specializing in manufacturing communication, Earth observation, radar, and on-orbit servicing satellites, satellite products, and related services. DigitalGlobe and MDA Holdings Company merged to become Maxar Technologies on October 5, 2017."
James Martin Center Statement,"Martin Luther King Jr. (born Michael King Jr.; January 15, 1929 – April 4, 1968) was an American Baptist minister and activist who became the most visible spokesman and leader in the civil rights movement from 1955 until his assassination in 1968."
Official German,"The following is a list of the countries and territories where German is an official language (also known as the Germanosphere). It includes countries that have German as (one of) their nationwide official language(s), as well as dependent territories with German as a co-official language."
Geng Shuang,Geng Shuang (Chinese: 耿爽; pinyin: Gěng Shuǎng; born April 1973) is a Chinese politician serving as China's Deputy Permanent Representative to the United Nations. He formerly served as the deputy director of the Foreign Ministry Information Department of the People's Republic of China.
Statement Raytheon,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization."
Yu hwan,"Park Yu-Hwan (born March 9, 1991) is a South Korean actor.


== Early life ==
On March 9, 1991, Park was born in Seoul, South Korea."
Federica Mogherini,"Federica Mogherini (Italian: [fedeˈriːka moɡeˈriːni]; born 16 June 1973) is an Italian politician who served as High Representative of the Union for Foreign Affairs and Security Policy and Vice-President of the European Commission from 2014 to 2019. She previously served as Italy's Minister for Foreign Affairs and International Cooperation from February 2014 to October 2014, in the centre-left Renzi Cabinet."
Karen Bell,"Rebecca Suzanne ""Becky"" Bell (August 24, 1971 – September 16, 1988) was an American teenage girl who died of complications from a septic abortion. After becoming pregnant, Bell inquired about a legal abortion but was hindered by Indiana state laws which required either her parents' consent or a waiver from a judge."
Joseph Cirincione (OLD),"'Why We Fight' is a 2005 documentary film by Eugene Jarecki about the military–industrial complex. The title refers to the World War II-era eponymous propaganda films commissioned by the U.S. Government to justify their decision to enter the war against the Axis Powers.Why We Fight was first screened at the Sundance Film Festival on January 17, 2005, exactly forty-four years after President Dwight D. Eisenhower's farewell address."
Hsien Loong Lee,"Lee Hsien Loong (Chinese: 李显龙; pinyin: Lǐ Xiǎnlóng; born 10 February 1952) is a Singaporean politician and former brigadier-general who has served as Prime Minister of Singapore and secretary-general of the People's Action Party (PAP) since 2004. Prior to his appointment as prime minister, he served as the deputy prime minister between 1990 and 2004 and was the finance minister between 2001 and 2007."
Edward Snowden,"Edward Joseph Snowden (born June 21, 1983) is an American former computer intelligence consultant who leaked highly classified information from the National Security Agency (NSA) in 2013, when he was an employee and subcontractor. His disclosures revealed numerous global surveillance programs, many run by the NSA and the Five Eyes Intelligence Alliance with the cooperation of telecommunication companies and European governments, and prompted a cultural discussion about national security and individual privacy."
Robert Hannigan,"Robert Peter Hannigan CMG (born 1965) is a cybersecurity specialist who has been Warden of Wadham College, Oxford, since 2021. He was a senior British civil servant who previously served as the director of the signals intelligence and cryptography agency the Government Communications Headquarters (GCHQ) and established the UK's National Cyber Security Centre."
Kristen Silverberg,"Kristen Silverberg (born 1970) was the United States Ambassador to the European Union from July 2008 until January 2009. She was nominated by President George W. Bush on April 24, 2008 and confirmed by the United States Senate on June 27, 2008."
Marshall Mathers III,"Marshall Bruce Mathers III (born October 17, 1972), known professionally as Eminem (; formerly stylized as EMINƎM), is an American rapper, songwriter, and record producer. Eminem is among the best-selling music artists of all time, with estimated worldwide sales of over 220 million records."
Kim In Ryong,"Choe Ryong-hae (born 15 January 1950) is a North Korean politician and military officer who currently serves as Chairman of the Standing Committee of the Supreme People's Assembly and First Vice President of the State Affairs Commission, holding both positions since April 2019.He is also a member of the Presidium of the Politburo and Vice Chairman of the Workers' Party of Korea (WPK). He also served as Supreme Leader Kim Jong-un's military second-in-command."
Statement European Union,"The European Union (EU) is a political and economic union of 27 member states that are located primarily in Europe. The union has a total area of 4,233,255.3 km2 (1,634,469.0 sq mi) and an estimated total population of about 447 million."
